epoch,acc,iou,loss,lr,precision,recall,val_acc,val_iou,val_loss,val_precision,val_recall
0,0.8011987805366516,0.15101054310798645,0.48772531747817993,1e-04,0.34330907464027405,0.4354879558086395,0.8788996338844299,0.1067110002040863,0.5190039277076721,0.7765326499938965,0.0030644098296761513
1,0.8771677017211914,0.18417879939079285,0.3660232424736023,1e-04,0.5952349901199341,0.4359064996242523,0.8785097599029541,0.12550830841064453,0.38960862159729004,0.5097886919975281,0.1744493842124939
2,0.8898685574531555,0.2129267156124115,0.32794246077537537,1e-04,0.660028338432312,0.4757796823978424,0.8857985138893127,0.19096209108829498,0.32922953367233276,0.5497099161148071,0.4251161813735962
3,0.8993707299232483,0.23852981626987457,0.30039146542549133,1e-04,0.7101500630378723,0.505107045173645,0.8983185887336731,0.2173290252685547,0.2927502989768982,0.6226449608802795,0.45541343092918396
4,0.9077360033988953,0.2646806538105011,0.2777262330055237,1e-04,0.7541730999946594,0.5332176685333252,0.8992964029312134,0.2335602045059204,0.28206607699394226,0.6229357719421387,0.4783739745616913
5,0.9148346185684204,0.2918704152107239,0.25741565227508545,1e-04,0.7883560061454773,0.561831533908844,0.9005414247512817,0.2406257539987564,0.2747355103492737,0.6342503428459167,0.46950939297676086
6,0.921863853931427,0.32185599207878113,0.23762227594852448,1e-04,0.8193029761314392,0.5931555032730103,0.9027081727981567,0.2558126449584961,0.26758602261543274,0.6466801762580872,0.4779698848724365
7,0.9282347559928894,0.3537084758281708,0.21862943470478058,1e-04,0.8452169895172119,0.6226682662963867,0.9060645699501038,0.2710250914096832,0.25754350423812866,0.6689163446426392,0.4836035966873169
8,0.9348775148391724,0.386447548866272,0.1998305767774582,1e-04,0.8677926659584045,0.6572769284248352,0.9085278511047363,0.28251099586486816,0.2483159303665161,0.6891682147979736,0.4804229736328125
9,0.9402116537094116,0.41556695103645325,0.18427559733390808,1e-04,0.8817281126976013,0.6889629364013672,0.9076128602027893,0.2868509292602539,0.24842071533203125,0.683872640132904,0.4784528911113739
10,0.9442765712738037,0.44187605381011963,0.17146062850952148,1e-04,0.8912842869758606,0.7137976288795471,0.9048426151275635,0.2988111674785614,0.256985068321228,0.6526477336883545,0.5050917267799377
11,0.9463610649108887,0.4620031416416168,0.16241437196731567,1e-04,0.8942998647689819,0.7281693816184998,0.8970283269882202,0.30917873978614807,0.27685415744781494,0.5940832495689392,0.5572690963745117
12,0.9463789463043213,0.47440049052238464,0.1574094444513321,1e-04,0.8899393081665039,0.7334572076797485,0.905457079410553,0.28537309169769287,0.2516823709011078,0.6889890432357788,0.4319898784160614
13,0.9498599171638489,0.4951874911785126,0.14687246084213257,1e-05,0.8989114761352539,0.7532522678375244,0.9203575253486633,0.3416038155555725,0.21599675714969635,0.7712123394012451,0.5134924054145813
14,0.9549123644828796,0.5132673978805542,0.1364731788635254,1e-05,0.9133833646774292,0.7796720862388611,0.9201616048812866,0.33776164054870605,0.2173512578010559,0.779439389705658,0.5000762939453125
15,0.9568125605583191,0.522276759147644,0.1323428601026535,1e-05,0.9169894456863403,0.791486918926239,0.9200029969215393,0.3401601314544678,0.2182655930519104,0.7736740708351135,0.5053119659423828
